,Quarter,MORTGAGE30US,Redfin Metro,All Home Sales,Investor Market Share,Investor Purchases,Max Investor Market Share
0,4/1/2019,4.1425,National,457348,0.139169735,63649,
1,7/1/2019,3.765,National,453420,0.141658948,64231,
2,10/1/2019,3.688,National,385075,0.161513991,62195,
3,1/1/2020,3.624,National,325288,0.172004501,55951,
4,4/1/2020,3.306,National,316005,0.113517191,35872,
5,7/1/2020,3.016,National,455370,0.119720228,54517,
6,10/1/2020,2.834,National,455702,0.134109572,61114,
7,1/1/2021,2.735,National,395546,0.160401066,63446,
8,4/1/2021,3.06,National,521861,0.166847111,87071,
9,7/1/2021,2.868,National,531441,0.185273624,98462,
10,10/1/2021,3.0675,National,469798,0.199028093,93503,
11,1/1/2022,3.445,National,402578,0.207333734,83468,
12,4/1/2022,4.9825,National,469960,0.19954677,93779,
13,7/1/2022,5.4125,National,393929,0.178549942,70336,
14,10/1/2022,6.9,National,286943,0.18234632,52323,
15,1/1/2023,6.2725,National,244324,0.179081875,43754,
16,4/1/2023,6.3425,National,325367,0.158547118,51586,
17,7/1/2023,6.84,National,312085,0.15983466,49882,
18,10/1/2023,7.62,National,255306,0.18551072,47362,
19,1/1/2024,6.6425,National,234877,0.187200109,43969,0.187200109
